date,station_uuid,diesel,e5,e10,dieselchange,e5change,e10change,hour,dow,is_weekend
2025-09-27 15:26:35+02:00,51d4b4f2-a095-1aa0-e100-80009459e03a,1.579,1.709,1.649,0.0,1.0,1.0,15,5,1
2025-09-27 15:31:35+02:00,51d4b4f2-a095-1aa0-e100-80009459e03a,1.579,1.709,1.649,0.0,1.0,1.0,15,5,1
2025-09-27 15:36:35+02:00,51d4b4f2-a095-1aa0-e100-80009459e03a,1.579,1.709,1.649,0.0,1.0,1.0,15,5,1
2025-09-27 15:41:35+02:00,51d4b4f2-a095-1aa0-e100-80009459e03a,1.579,1.709,1.649,0.0,1.0,1.0,15,5,1
2025-09-27 15:46:35+02:00,51d4b4f2-a095-1aa0-e100-80009459e03a,1.579,1.709,1.649,0.0,1.0,1.0,15,5,1
2025-09-27 15:51:35+02:00,51d4b4f2-a095-1aa0-e100-80009459e03a,1.579,1.709,1.649,0.0,1.0,1.0,15,5,1
2025-09-27 15:56:35+02:00,51d4b4f2-a095-1aa0-e100-80009459e03a,1.579,1.709,1.649,0.0,1.0,1.0,15,5,1
2025-09-27 16:01:35+02:00,51d4b4f2-a095-1aa0-e100-80009459e03a,1.579,1.709,1.649,0.0,1.0,1.0,16,5,1
2025-09-27 16:06:35+02:00,51d4b4f2-a095-1aa0-e100-80009459e03a,1.579,1.709,1.649,0.0,1.0,1.0,16,5,1
2025-09-27 16:11:35+02:00,51d4b4f2-a095-1aa0-e100-80009459e03a,1.579,1.709,1.649,0.0,1.0,1.0,16,5,1
2025-09-27 16:16:35+02:00,51d4b4f2-a095-1aa0-e100-80009459e03a,1.579,1.709,1.649,0.0,1.0,1.0,16,5,1
2025-09-27 16:21:35+02:00,51d4b4f2-a095-1aa0-e100-80009459e03a,1.579,1.709,1.649,0.0,1.0,1.0,16,5,1
2025-09-27 16:26:35+02:00,51d4b4f2-a095-1aa0-e100-80009459e03a,1.579,1.709,1.649,0.0,1.0,1.0,16,5,1
2025-09-27 16:31:35+02:00,51d4b4f2-a095-1aa0-e100-80009459e03a,1.579,1.709,1.649,0.0,1.0,1.0,16,5,1
2025-09-27 16:36:35+02:00,51d4b4f2-a095-1aa0-e100-80009459e03a,1.579,1.709,1.649,0.0,1.0,1.0,16,5,1
2025-09-27 16:41:35+02:00,51d4b4f2-a095-1aa0-e100-80009459e03a,1.579,1.709,1.649,0.0,1.0,1.0,16,5,1
2025-09-27 16:46:35+02:00,51d4b4f2-a095-1aa0-e100-80009459e03a,1.579,1.709,1.649,0.0,1.0,1.0,16,5,1
2025-09-27 16:51:35+02:00,51d4b4f2-a095-1aa0-e100-80009459e03a,1.579,1.709,1.649,0.0,1.0,1.0,16,5,1
2025-09-27 16:56:35+02:00,51d4b4f2-a095-1aa0-e100-80009459e03a,1.579,1.709,1.649,0.0,1.0,1.0,16,5,1
2025-09-27 17:01:35+02:00,51d4b4f2-a095-1aa0-e100-80009459e03a,1.579,1.709,1.649,0.0,1.0,1.0,17,5,1
2025-09-27 17:06:35+02:00,51d4b4f2-a095-1aa0-e100-80009459e03a,1.579,1.709,1.649,0.0,1.0,1.0,17,5,1
2025-09-27 17:11:35+02:00,51d4b4f2-a095-1aa0-e100-80009459e03a,1.579,1.709,1.649,0.0,1.0,1.0,17,5,1
2025-09-27 17:16:35+02:00,51d4b4f2-a095-1aa0-e100-80009459e03a,1.579,1.709,1.649,0.0,1.0,1.0,17,5,1
2025-09-27 17:21:35+02:00,51d4b4f2-a095-1aa0-e100-80009459e03a,1.579,1.709,1.649,0.0,1.0,1.0,17,5,1
2025-09-27 17:26:35+02:00,51d4b4f2-a095-1aa0-e100-80009459e03a,1.579,1.709,1.649,0.0,1.0,1.0,17,5,1
2025-09-27 17:31:35+02:00,51d4b4f2-a095-1aa0-e100-80009459e03a,1.579,1.709,1.649,0.0,1.0,1.0,17,5,1
2025-09-27 17:36:35+02:00,51d4b4f2-a095-1aa0-e100-80009459e03a,1.579,1.709,1.649,0.0,1.0,1.0,17,5,1
2025-09-27 17:41:35+02:00,51d4b4f2-a095-1aa0-e100-80009459e03a,1.579,1.709,1.649,0.0,1.0,1.0,17,5,1
2025-09-27 17:46:35+02:00,51d4b4f2-a095-1aa0-e100-80009459e03a,1.579,1.709,1.649,0.0,1.0,1.0,17,5,1
2025-09-27 17:51:35+02:00,51d4b4f2-a095-1aa0-e100-80009459e03a,1.579,1.709,1.649,0.0,1.0,1.0,17,5,1
2025-09-27 17:56:35+02:00,51d4b4f2-a095-1aa0-e100-80009459e03a,1.579,1.709,1.649,0.0,1.0,1.0,17,5,1
2025-09-27 18:01:35+02:00,51d4b4f2-a095-1aa0-e100-80009459e03a,1.579,1.709,1.649,0.0,1.0,1.0,18,5,1
2025-09-27 18:06:35+02:00,51d4b4f2-a095-1aa0-e100-80009459e03a,1.579,1.709,1.649,0.0,1.0,1.0,18,5,1
2025-09-27 18:11:35+02:00,51d4b4f2-a095-1aa0-e100-80009459e03a,1.579,1.709,1.649,0.0,1.0,1.0,18,5,1
2025-09-27 18:16:35+02:00,51d4b4f2-a095-1aa0-e100-80009459e03a,1.579,1.709,1.649,0.0,1.0,1.0,18,5,1
2025-09-27 18:21:35+02:00,51d4b4f2-a095-1aa0-e100-80009459e03a,1.579,1.709,1.649,0.0,1.0,1.0,18,5,1
2025-09-27 18:26:35+02:00,51d4b4f2-a095-1aa0-e100-80009459e03a,1.579,1.709,1.649,0.0,1.0,1.0,18,5,1
